smiles1_tokens,smiles2_tokens,org1_tokens,org2_tokens,genes1_tokens,genes2_tokens,total_tokens
44.0,14.0,7.0,2.0,4,17,88
44.0,39.0,1.0,1.0,9,22,116
,179.0,1.0,1.0,11,10,202
2.0,58.0,1.0,1.0,242,1,305
21.0,15.0,1.0,6.0,16,7,66
12.0,38.0,10.0,1.0,2,7,70
83.0,10.0,1.0,1.0,12,2,109
44.0,19.0,1.0,1.0,10,8,83
72.0,50.0,1.0,1.0,3,32,159
34.0,71.0,1.0,1.0,7,2,116
74.0,66.0,1.0,1.0,3,11,156
16.0,34.0,1.0,1.0,2,5,59
105.0,36.0,1.0,1.0,3,28,174
15.0,5.0,6.0,1.0,7,1,35
36.0,64.0,1.0,1.0,1,1,104
34.0,62.0,4.0,9.0,1,3,113
88.0,34.0,,1.0,3,7,133
31.0,19.0,8.0,1.0,4,4,67
24.0,23.0,1.0,1.0,75,16,140
60.0,31.0,1.0,1.0,6,6,105
,48.0,1.0,,14,8,71
56.0,136.0,1.0,1.0,3,10,207
64.0,35.0,1.0,35.0,3,2,140
3.0,57.0,1.0,1.0,8,2,72
45.0,19.0,1.0,1.0,1,3,70
26.0,33.0,1.0,1.0,5,11,77
37.0,356.0,1.0,1.0,3,12,410
77.0,130.0,1.0,1.0,3,7,219
33.0,60.0,1.0,1.0,148,11,254
12.0,54.0,10.0,1.0,5,10,92
31.0,,1.0,1.0,3,7,43
49.0,,1.0,1.0,14,11,76
20.0,27.0,1.0,9.0,47,10,114
585.0,9.0,1.0,1.0,7,39,642
37.0,53.0,1.0,8.0,4,16,119
39.0,22.0,1.0,1.0,13,156,232
18.0,43.0,1.0,1.0,107,2,172
55.0,34.0,1.0,1.0,78,16,185
35.0,44.0,1.0,1.0,3,7,91
31.0,24.0,1.0,1.0,11,75,143
62.0,49.0,1.0,10.0,7,3,132
20.0,39.0,1.0,1.0,14,7,82
37.0,19.0,1.0,1.0,10,6,74
94.0,67.0,1.0,1.0,3,4,170
6.0,9.0,6.0,1.0,153,2,177
53.0,13.0,1.0,,3,7,77
24.0,28.0,1.0,1.0,17,29,100
32.0,46.0,1.0,1.0,7,2,89
28.0,2.0,1.0,1.0,4,5,41
48.0,19.0,1.0,1.0,7,2,78
25.0,21.0,1.0,1.0,58,77,183
31.0,62.0,1.0,1.0,7,6,108
21.0,24.0,1.0,1.0,15,17,79
14.0,25.0,1.0,1.0,41,3,85
23.0,17.0,1.0,1.0,33,14,89
,64.0,1.0,1.0,2,26,94
19.0,,4.0,1.0,1,7,32
51.0,54.0,1.0,1.0,1,3,111
17.0,20.0,1.0,1.0,3,2,44
27.0,148.0,1.0,2.0,9,3,190
47.0,373.0,1.0,1.0,3,138,563
99.0,32.0,1.0,1.0,2,29,164
23.0,35.0,1.0,1.0,4,34,98
22.0,25.0,1.0,1.0,3,3,55
55.0,12.0,1.0,7.0,3,1,79
59.0,,1.0,1.0,2,8,71
40.0,51.0,1.0,1.0,3,2,98
27.0,38.0,1.0,1.0,11,116,194
23.0,23.0,1.0,1.0,11,4,63
4.0,114.0,1.0,1.0,3,8,131
6.0,29.0,1.0,1.0,16,9,62
37.0,38.0,1.0,1.0,3,8,88
9.0,88.0,1.0,5.0,6,3,112
37.0,9.0,1.0,7.0,2,2,58
49.0,53.0,1.0,1.0,3,25,132
10.0,38.0,1.0,1.0,362,14,426
45.0,23.0,1.0,1.0,8,17,95
6.0,20.0,1.0,1.0,29,97,154
39.0,,1.0,1.0,6,6,53
3.0,48.0,1.0,1.0,16,23,92
37.0,36.0,1.0,1.0,136,7,218
33.0,44.0,1.0,1.0,5,8,92
101.0,52.0,10.0,1.0,9,15,188
27.0,30.0,1.0,1.0,7,116,182
28.0,14.0,1.0,6.0,29,32,110
64.0,46.0,10.0,1.0,45,16,182
44.0,40.0,1.0,1.0,10,3,99
30.0,38.0,1.0,1.0,1,4,75
32.0,36.0,7.0,1.0,25,3,104
23.0,40.0,1.0,1.0,20,2,87
22.0,,1.0,1.0,2,2,28
66.0,47.0,1.0,1.0,20,4,139
62.0,23.0,1.0,1.0,7,107,201
20.0,65.0,1.0,1.0,35,4,126
33.0,7.0,1.0,13.0,11,1,66
43.0,4.0,10.0,1.0,3,3,64
11.0,48.0,1.0,1.0,44,1,106
50.0,33.0,10.0,1.0,2,7,103
42.0,152.0,1.0,1.0,3,7,206
586.0,23.0,1.0,12.0,7,3,632
74.0,50.0,7.0,10.0,1,11,153
7.0,24.0,1.0,1.0,19,29,81
591.0,20.0,1.0,1.0,7,14,634
93.0,38.0,1.0,7.0,4,7,150
50.0,,1.0,1.0,10,2,64
47.0,22.0,1.0,1.0,6,11,88
16.0,9.0,1.0,1.0,11,16,54
23.0,25.0,12.0,1.0,2,4,67
,,1.0,1.0,7,3,12
54.0,51.0,7.0,1.0,1,6,120
92.0,40.0,1.0,1.0,9,85,228
40.0,42.0,1.0,1.0,1,3,88
160.0,34.0,1.0,1.0,3,2,201
32.0,,1.0,1.0,3,45,82
27.0,27.0,1.0,1.0,12,19,87
32.0,18.0,35.0,1.0,2,23,111
12.0,18.0,1.0,6.0,13,2,52
50.0,43.0,1.0,1.0,10,2,107
38.0,88.0,1.0,7.0,9,1,144
45.0,23.0,1.0,1.0,19,26,115
51.0,36.0,1.0,1.0,2,66,157
32.0,25.0,1.0,34.0,3,1,96
49.0,17.0,1.0,1.0,8,7,83
90.0,35.0,1.0,1.0,60,14,201
16.0,46.0,1.0,19.0,4,42,128
25.0,48.0,1.0,1.0,30,91,196
55.0,153.0,1.0,1.0,42,2,254
37.0,37.0,1.0,1.0,4,2,82
78.0,26.0,1.0,1.0,17,37,160
54.0,69.0,1.0,1.0,205,11,341
25.0,15.0,1.0,1.0,17,19,78
67.0,47.0,6.0,1.0,3,4,128
46.0,51.0,1.0,1.0,3,1,103
36.0,36.0,1.0,1.0,13,176,263
66.0,46.0,1.0,6.0,4,2,125
65.0,15.0,1.0,1.0,3,16,101
43.0,55.0,1.0,1.0,11,58,169
27.0,51.0,1.0,10.0,17,3,109
77.0,35.0,,1.0,3,64,180
54.0,50.0,24.0,1.0,1,19,149
40.0,64.0,1.0,7.0,68,2,182
47.0,49.0,1.0,1.0,3,3,104
29.0,52.0,1.0,1.0,3,2,88
140.0,39.0,1.0,1.0,4,23,208
64.0,61.0,23.0,10.0,1,5,164
20.0,20.0,1.0,1.0,14,28,84
34.0,25.0,1.0,1.0,6,3,70
45.0,38.0,6.0,1.0,3,1,94
5.0,9.0,10.0,1.0,1,6,32
34.0,33.0,8.0,10.0,3,2,90
9.0,21.0,1.0,1.0,2,77,111
15.0,5.0,34.0,1.0,1,4,60
63.0,35.0,10.0,1.0,2,3,114
12.0,40.0,1.0,1.0,7,2,63
23.0,47.0,9.0,1.0,73,3,156
32.0,22.0,1.0,1.0,9,9,74
46.0,66.0,19.0,1.0,42,3,177
49.0,114.0,1.0,1.0,3,8,176
37.0,39.0,1.0,1.0,7,3,88
,22.0,1.0,1.0,10,4,38
36.0,117.0,1.0,6.0,42,3,205
54.0,53.0,1.0,1.0,2,25,136
32.0,84.0,1.0,1.0,3,14,135
22.0,60.0,1.0,1.0,3,3,90
74.0,45.0,7.0,1.0,1,19,147
41.0,22.0,1.0,5.0,3,1,73
5.0,20.0,10.0,1.0,19,97,152
,49.0,1.0,1.0,3,2,56
59.0,36.0,1.0,1.0,4,7,108
34.0,46.0,1.0,1.0,4,7,93
30.0,69.0,1.0,1.0,11,4,116
30.0,28.0,1.0,1.0,7,58,125
51.0,25.0,1.0,1.0,14,50,142
45.0,40.0,1.0,1.0,3,17,107
64.0,40.0,1.0,1.0,9,3,118
68.0,106.0,1.0,15.0,8,275,473
40.0,17.0,1.0,1.0,3,5,67
34.0,29.0,1.0,1.0,2,3,70
45.0,38.0,7.0,10.0,4,6,110
29.0,46.0,1.0,1.0,11,43,131
5.0,31.0,1.0,26.0,3,1,67
17.0,,1.0,1.0,3,28,50
20.0,43.0,1.0,6.0,2,2,74
373.0,50.0,1.0,1.0,138,3,566
37.0,22.0,1.0,1.0,3,14,78
49.0,39.0,1.0,1.0,16,6,112
20.0,42.0,33.0,1.0,3,5,104
22.0,94.0,1.0,1.0,55,51,224
23.0,9.0,1.0,1.0,2,11,47
43.0,19.0,1.0,1.0,2,7,73
33.0,25.0,1.0,1.0,30,3,93
21.0,116.0,1.0,1.0,57,9,205
15.0,60.0,29.0,1.0,2,6,113
91.0,27.0,8.0,11.0,3,3,143
,45.0,1.0,1.0,8,6,61
33.0,37.0,1.0,1.0,1,2,75
,25.0,1.0,1.0,7,7,41
43.0,26.0,1.0,1.0,96,111,278
21.0,21.0,5.0,1.0,3,3,54
39.0,115.0,1.0,5.0,1,2,163
26.0,34.0,1.0,7.0,8,13,89
33.0,70.0,1.0,1.0,7,2,114
15.0,52.0,1.0,1.0,3,2,74
53.0,34.0,1.0,7.0,5,13,113
54.0,22.0,1.0,1.0,20,112,210
16.0,31.0,1.0,1.0,6,6,61
45.0,51.0,1.0,1.0,76,2,176
,44.0,1.0,1.0,2,24,72
15.0,58.0,29.0,1.0,2,46,151
43.0,26.0,11.0,1.0,3,5,89
42.0,46.0,1.0,7.0,7,1,104
32.0,53.0,1.0,1.0,3,19,109
35.0,21.0,1.0,1.0,313,26,397
47.0,26.0,1.0,1.0,3,5,83
39.0,8.0,1.0,,12,3,63
53.0,19.0,1.0,1.0,2,7,83
42.0,29.0,1.0,1.0,3,111,187
24.0,,1.0,1.0,75,170,271
15.0,42.0,1.0,1.0,141,6,206
45.0,,1.0,1.0,2,4,53
25.0,25.0,26.0,2.0,5,8,91
30.0,19.0,13.0,24.0,3,7,96
10.0,5.0,1.0,7.0,3,2,28
56.0,99.0,16.0,1.0,3,3,178
19.0,17.0,1.0,5.0,7,8,57
41.0,30.0,1.0,1.0,7,7,87
23.0,29.0,1.0,1.0,16,4,74
41.0,26.0,7.0,1.0,9,6,90
40.0,55.0,1.0,1.0,85,8,190
3.0,12.0,1.0,30.0,5,5,56
15.0,,1.0,1.0,5,35,57
28.0,47.0,1.0,11.0,2,2,91
43.0,53.0,1.0,6.0,3,3,109
16.0,20.0,1.0,1.0,7,6,51
39.0,66.0,1.0,1.0,23,68,198
21.0,14.0,11.0,10.0,12,3,71
36.0,17.0,1.0,1.0,9,13,77
24.0,21.0,1.0,1.0,4,3,54
35.0,127.0,19.0,1.0,3,3,188
18.0,94.0,1.0,1.0,49,51,214
39.0,24.0,1.0,30.0,14,6,114
115.0,,5.0,1.0,2,5,128
28.0,46.0,1.0,19.0,4,42,140
51.0,9.0,1.0,24.0,3,2,90
