smiles1_tokens,smiles2_tokens,org1_tokens,org2_tokens,genes1_tokens,genes2_tokens,total_tokens
19.0,56.0,1.0,1.0,465,4,546
5.0,21.0,1.0,1.0,4,9,41
38.0,112.0,1.0,1.0,8,3,163
27.0,13.0,1.0,1.0,4,3,49
47.0,84.0,1.0,1.0,19,14,166
52.0,40.0,1.0,1.0,34,22,150
16.0,588.0,1.0,1.0,2,7,615
79.0,53.0,1.0,1.0,20,49,203
42.0,32.0,1.0,1.0,2,3,81
48.0,34.0,1.0,1.0,14,2,100
16.0,45.0,1.0,1.0,4,3,70
32.0,35.0,1.0,1.0,111,7,187
41.0,47.0,1.0,1.0,22,14,126
18.0,24.0,1.0,1.0,5,75,124
45.0,32.0,1.0,4.0,26,3,111
21.0,45.0,26.0,1.0,5,8,106
,26.0,1.0,6.0,2,6,41
35.0,26.0,1.0,1.0,111,38,212
7.0,13.0,1.0,10.0,19,2,52
35.0,32.0,1.0,1.0,6,7,82
45.0,52.0,1.0,1.0,12,5,116
127.0,48.0,1.0,1.0,3,4,184
64.0,20.0,1.0,8.0,5,3,101
46.0,31.0,1.0,1.0,2,62,143
42.0,67.0,10.0,1.0,3,2,125
39.0,24.0,1.0,1.0,3,7,75
81.0,35.0,1.0,6.0,3,2,128
13.0,37.0,34.0,1.0,13,2,100
39.0,19.0,6.0,10.0,1,5,80
29.0,14.0,1.0,2.0,23,6,75
28.0,73.0,1.0,,11,3,116
47.0,26.0,1.0,1.0,15,28,118
16.0,72.0,6.0,1.0,23,13,131
43.0,32.0,1.0,1.0,3,3,83
336.0,39.0,1.0,1.0,4,3,384
93.0,20.0,1.0,8.0,3,3,128
,29.0,1.0,10.0,2,7,49
67.0,14.0,1.0,6.0,3,19,110
64.0,32.0,1.0,1.0,2,3,103
21.0,22.0,1.0,15.0,53,1,113
123.0,10.0,1.0,1.0,3,2,140
88.0,29.0,1.0,1.0,118,7,244
66.0,75.0,7.0,1.0,1,3,153
143.0,19.0,1.0,10.0,3,3,179
32.0,89.0,1.0,,111,3,236
85.0,73.0,1.0,8.0,3,3,173
49.0,63.0,1.0,4.0,10,1,128
57.0,38.0,1.0,,3,3,102
37.0,30.0,1.0,1.0,52,11,132
27.0,33.0,1.0,1.0,2,83,147
25.0,10.0,6.0,5.0,8,3,57
,40.0,1.0,13.0,7,3,64
76.0,53.0,25.0,1.0,3,46,204
59.0,37.0,10.0,1.0,3,12,122
,108.0,1.0,1.0,2,4,116
49.0,28.0,1.0,1.0,16,51,146
38.0,73.0,1.0,8.0,116,3,239
43.0,34.0,1.0,1.0,2,3,84
62.0,40.0,9.0,1.0,3,15,130
17.0,36.0,1.0,1.0,2,3,60
32.0,90.0,1.0,1.0,7,4,135
35.0,18.0,1.0,7.0,3,3,67
46.0,34.0,16.0,1.0,3,3,103
66.0,18.0,1.0,1.0,68,2,156
52.0,55.0,1.0,1.0,4,3,116
12.0,42.0,2.0,1.0,3,1,61
45.0,40.0,1.0,1.0,8,1,96
33.0,43.0,1.0,1.0,11,38,127
43.0,41.0,11.0,1.0,12,6,114
40.0,52.0,1.0,1.0,4,59,157
57.0,21.0,1.0,1.0,1,23,104
52.0,42.0,10.0,1.0,1,3,109
21.0,45.0,26.0,1.0,5,8,106
101.0,25.0,10.0,9.0,2,23,170
48.0,197.0,1.0,1.0,3,19,269
49.0,32.0,1.0,1.0,35,4,122
28.0,28.0,1.0,1.0,3,30,91
33.0,29.0,1.0,1.0,30,9,103
23.0,50.0,1.0,1.0,4,9,88
35.0,59.0,1.0,7.0,19,3,124
,81.0,1.0,1.0,2,6,91
54.0,21.0,1.0,1.0,6,3,86
29.0,42.0,5.0,10.0,1,2,89
45.0,26.0,1.0,1.0,76,9,158
,23.0,1.0,1.0,9,10,44
80.0,70.0,34.0,6.0,1,2,193
38.0,29.0,1.0,1.0,19,154,242
31.0,53.0,3.0,1.0,2,5,95
27.0,62.0,1.0,1.0,12,87,190
122.0,61.0,1.0,1.0,4,5,194
25.0,18.0,19.0,12.0,4,2,80
47.0,48.0,1.0,1.0,6,46,149
42.0,29.0,1.0,1.0,6,5,84
36.0,24.0,1.0,1.0,1,54,117
172.0,133.0,1.0,1.0,5,20,332
,,1.0,1.0,2,2,6
44.0,65.0,1.0,1.0,24,3,138
16.0,53.0,1.0,1.0,4,3,78
50.0,53.0,1.0,19.0,2,20,145
15.0,22.0,,1.0,3,3,44
17.0,32.0,1.0,4.0,14,1,69
,28.0,1.0,1.0,13,17,60
36.0,65.0,1.0,1.0,3,4,110
54.0,115.0,1.0,1.0,205,2,378
73.0,28.0,1.0,1.0,14,87,204
46.0,55.0,1.0,9.0,29,2,142
25.0,25.0,1.0,1.0,30,27,109
44.0,101.0,1.0,10.0,7,9,172
49.0,103.0,10.0,1.0,3,3,169
89.0,19.0,1.0,1.0,11,13,134
36.0,61.0,6.0,1.0,5,3,112
27.0,25.0,1.0,1.0,28,11,93
33.0,77.0,10.0,5.0,2,7,134
26.0,73.0,1.0,1.0,8,5,114
,14.0,1.0,1.0,7,12,35
19.0,26.0,1.0,1.0,157,21,225
41.0,,1.0,1.0,4,32,79
118.0,73.0,1.0,1.0,2,3,198
32.0,53.0,1.0,1.0,19,7,113
42.0,40.0,1.0,1.0,3,7,94
44.0,193.0,16.0,1.0,5,3,262
31.0,54.0,1.0,1.0,23,205,315
99.0,22.0,1.0,1.0,7,17,147
169.0,30.0,20.0,1.0,3,37,260
40.0,21.0,1.0,1.0,85,12,160
13.0,26.0,9.0,1.0,2,2,53
109.0,25.0,4.0,1.0,6,27,172
40.0,145.0,1.0,1.0,5,25,217
46.0,53.0,1.0,1.0,4,9,114
38.0,22.0,1.0,7.0,116,2,186
26.0,30.0,1.0,1.0,2,3,63
25.0,38.0,1.0,1.0,7,13,85
16.0,,1.0,1.0,3,8,29
38.0,118.0,1.0,5.0,6,5,173
22.0,71.0,53.0,10.0,2,3,161
25.0,46.0,11.0,1.0,2,2,87
21.0,55.0,1.0,1.0,18,4,100
24.0,28.0,1.0,1.0,75,148,277
49.0,38.0,1.0,1.0,2,70,161
27.0,29.0,1.0,1.0,3,11,72
50.0,21.0,1.0,26.0,3,5,106
51.0,43.0,1.0,10.0,11,3,119
49.0,21.0,4.0,1.0,3,3,81
33.0,31.0,1.0,1.0,5,9,80
33.0,11.0,1.0,1.0,11,6,63
17.0,37.0,6.0,1.0,31,3,95
,39.0,1.0,1.0,4,12,57
19.0,38.0,1.0,1.0,2,2,63
11.0,11.0,1.0,11.0,3,7,44
60.0,31.0,1.0,,2,3,97
46.0,48.0,1.0,1.0,3,3,102
41.0,38.0,1.0,1.0,7,13,101
13.0,66.0,1.0,1.0,3,2,86
40.0,49.0,1.0,1.0,2,46,139
41.0,42.0,1.0,7.0,3,1,95
35.0,16.0,1.0,6.0,2,5,65
56.0,44.0,1.0,1.0,16,6,124
41.0,64.0,1.0,10.0,1,45,162
26.0,43.0,1.0,1.0,1,11,83
32.0,14.0,1.0,10.0,5,1,63
28.0,26.0,1.0,12.0,6,3,76
29.0,15.0,1.0,1.0,11,17,74
41.0,40.0,1.0,1.0,19,22,124
42.0,152.0,1.0,1.0,3,7,206
57.0,81.0,6.0,1.0,3,3,151
,46.0,1.0,1.0,6,21,75
40.0,43.0,1.0,1.0,68,1,154
32.0,31.0,7.0,1.0,25,21,117
77.0,76.0,1.0,25.0,7,3,189
21.0,8.0,1.0,9.0,53,1,93
21.0,35.0,1.0,1.0,7,7,72
58.0,27.0,1.0,1.0,7,11,105
50.0,,1.0,6.0,9,2,68
34.0,43.0,1.0,1.0,3,3,85
38.0,46.0,1.0,19.0,35,42,181
95.0,70.0,1.0,1.0,2,1,170
47.0,44.0,1.0,1.0,3,31,127
37.0,19.0,1.0,1.0,3,5,66
17.0,26.0,1.0,,5,3,52
27.0,30.0,12.0,1.0,7,20,97
20.0,22.0,1.0,1.0,24,46,114
24.0,55.0,1.0,1.0,3,9,93
,,1.0,1.0,7,9,18
37.0,38.0,1.0,1.0,7,19,103
20.0,30.0,1.0,1.0,28,3,83
23.0,39.0,1.0,1.0,48,3,115
31.0,23.0,1.0,1.0,111,2,169
50.0,24.0,1.0,1.0,3,23,102
39.0,4.0,1.0,1.0,14,3,62
21.0,33.0,1.0,30.0,3,3,91
14.0,18.0,1.0,1.0,3,3,40
10.0,37.0,34.0,1.0,2,6,90
12.0,591.0,1.0,1.0,12,7,624
128.0,16.0,1.0,1.0,13,6,165
5.0,9.0,1.0,4.0,9,3,31
51.0,52.0,1.0,1.0,8,7,120
49.0,12.0,10.0,1.0,2,4,78
25.0,15.0,1.0,1.0,3,4,49
79.0,40.0,1.0,1.0,15,22,158
18.0,114.0,1.0,1.0,107,8,249
19.0,27.0,1.0,1.0,15,4,67
,28.0,1.0,1.0,2,4,36
60.0,66.0,1.0,1.0,3,22,153
23.0,48.0,1.0,1.0,13,7,93
17.0,70.0,1.0,1.0,29,10,128
51.0,99.0,5.0,30.0,2,205,392
67.0,32.0,1.0,1.0,16,10,127
33.0,22.0,1.0,1.0,3,33,93
25.0,59.0,1.0,16.0,141,6,248
34.0,42.0,1.0,1.0,2,7,87
33.0,40.0,1.0,1.0,111,17,203
43.0,27.0,1.0,1.0,38,7,117
106.0,24.0,1.0,1.0,3,17,152
53.0,38.0,1.0,1.0,7,3,103
69.0,40.0,1.0,1.0,20,2,133
12.0,41.0,2.0,1.0,3,3,62
51.0,53.0,1.0,1.0,2,3,111
35.0,57.0,1.0,1.0,4,2,100
28.0,20.0,1.0,1.0,87,90,227
209.0,11.0,4.0,11.0,7,4,246
23.0,71.0,1.0,1.0,12,2,110
41.0,49.0,1.0,19.0,4,24,138
47.0,51.0,24.0,16.0,22,3,163
42.0,28.0,1.0,1.0,3,5,80
56.0,180.0,1.0,1.0,4,3,245
20.0,,10.0,1.0,5,3,39
45.0,22.0,1.0,10.0,3,2,83
43.0,83.0,10.0,1.0,2,12,151
,,1.0,1.0,3,2,7
33.0,38.0,1.0,1.0,83,6,162
45.0,22.0,1.0,1.0,3,3,75
26.0,27.0,1.0,1.0,12,32,99
50.0,35.0,24.0,10.0,2,2,123
50.0,12.0,1.0,1.0,32,12,108
9.0,24.0,7.0,1.0,1,10,52
90.0,42.0,1.0,1.0,4,61,199
32.0,34.0,1.0,7.0,19,13,106
21.0,45.0,1.0,1.0,4,8,80
33.0,9.0,10.0,8.0,2,3,65
27.0,37.0,11.0,1.0,3,52,131
25.0,37.0,1.0,1.0,9,136,209
64.0,27.0,1.0,12.0,19,7,130
45.0,28.0,1.0,1.0,7,3,85
39.0,48.0,1.0,10.0,22,14,134
59.0,34.0,1.0,1.0,3,12,110
51.0,39.0,1.0,10.0,3,8,112
31.0,,1.0,1.0,3,4,40
11.0,29.0,10.0,1.0,2,2,55
45.0,136.0,1.0,1.0,15,10,208
15.0,42.0,1.0,1.0,15,2,76
23.0,23.0,1.0,1.0,16,3,67
75.0,26.0,1.0,1.0,76,5,184
48.0,67.0,1.0,1.0,2,2,121
21.0,50.0,1.0,1.0,29,19,121
336.0,73.0,1.0,1.0,4,4,419
10.0,26.0,1.0,1.0,5,34,77
24.0,54.0,1.0,1.0,4,7,91
37.0,44.0,1.0,1.0,9,2,94
72.0,32.0,1.0,1.0,3,3,112
89.0,28.0,1.0,1.0,94,3,216
32.0,51.0,7.0,1.0,25,35,151
21.0,91.0,1.0,8.0,162,3,286
19.0,30.0,1.0,1.0,2,116,169
35.0,80.0,1.0,8.0,3,3,130
23.0,33.0,1.0,1.0,33,11,102
104.0,16.0,10.0,7.0,3,19,159
35.0,46.0,10.0,1.0,2,3,97
63.0,47.0,1.0,1.0,1,3,116
74.0,45.0,1.0,1.0,4,6,131
21.0,27.0,1.0,12.0,162,7,230
100.0,8.0,1.0,1.0,7,158,275
50.0,54.0,24.0,4.0,2,1,135
47.0,81.0,1.0,1.0,3,6,139
12.0,25.0,1.0,1.0,4,2,45
62.0,,1.0,1.0,8,9,81
43.0,27.0,25.0,1.0,3,3,102
17.0,27.0,1.0,1.0,11,11,68
47.0,,1.0,1.0,6,4,59
16.0,17.0,1.0,1.0,4,6,45
43.0,,6.0,1.0,2,4,56
,36.0,1.0,1.0,7,5,50
,36.0,1.0,1.0,3,3,44
,49.0,1.0,1.0,47,35,133
26.0,54.0,10.0,10.0,2,2,104
24.0,30.0,1.0,2.0,28,3,88
12.0,42.0,1.0,1.0,146,7,209
25.0,26.0,1.0,1.0,3,26,82
38.0,40.0,1.0,10.0,13,5,107
121.0,13.0,3.0,1.0,5,4,147
39.0,,1.0,1.0,22,2,65
144.0,15.0,1.0,1.0,5,17,183
31.0,19.0,1.0,1.0,7,5,64
46.0,45.0,1.0,1.0,9,8,110
34.0,12.0,10.0,1.0,2,3,62
41.0,44.0,1.0,1.0,111,4,202
27.0,20.0,1.0,1.0,2,3,54
25.0,54.0,10.0,1.0,2,2,94
,24.0,13.0,1.0,1,8,47
36.0,,4.0,1.0,1,21,63
48.0,54.0,1.0,1.0,2,1,107
27.0,19.0,1.0,1.0,86,4,138
71.0,26.0,7.0,1.0,1,3,109
74.0,40.0,1.0,2.0,4,3,124
34.0,56.0,1.0,16.0,19,3,129
38.0,74.0,1.0,1.0,6,19,139
64.0,,1.0,1.0,41,2,109
179.0,27.0,1.0,1.0,5,11,224
,22.0,1.0,13.0,19,3,58
9.0,31.0,9.0,1.0,2,3,55
67.0,22.0,1.0,10.0,4,2,106
29.0,17.0,1.0,7.0,69,12,135
48.0,29.0,1.0,1.0,10,44,133
42.0,53.0,1.0,1.0,61,46,204
32.0,,1.0,1.0,3,15,52
37.0,38.0,1.0,1.0,4,8,89
19.0,23.0,10.0,26.0,8,1,87
32.0,52.0,10.0,1.0,10,59,164
10.0,,1.0,1.0,362,4,378
34.0,31.0,1.0,10.0,3,2,81
26.0,49.0,5.0,1.0,6,29,116
39.0,44.0,1.0,1.0,8,3,96
45.0,,1.0,1.0,12,11,70
66.0,34.0,1.0,1.0,4,2,108
60.0,15.0,1.0,24.0,40,1,141
26.0,46.0,6.0,1.0,6,10,95
108.0,37.0,1.0,1.0,4,34,185
