component,count,min,max,mean,median,std,p25,p75,p95,p99
smiles1_tokens,945,2.0,591.0,45.65185185185185,38.0,46.453075230471654,25.0,51.0,95.0,175.91999999999962
smiles2_tokens,938,2.0,610.0,45.1226012793177,37.0,47.14319905945185,24.0,52.0,106.29999999999995,195.51999999999998
org1_tokens,992,1.0,53.0,2.9919354838709675,1.0,5.382066071749497,1.0,1.0,11.0,29.0
org2_tokens,989,1.0,53.0,2.912032355915066,1.0,5.16952949868926,1.0,1.0,11.0,26.0
genes1_tokens,1000,1.0,465.0,18.097,5.0,37.85581400067437,3.0,14.0,87.0,162.0
genes2_tokens,1000,1.0,275.0,16.25,6.0,29.625819637424197,3.0,14.0,77.0,156.0
total_tokens,1000,6.0,657.0,125.661,108.0,80.08660276814683,78.0,150.0,249.19999999999982,510.1199999999999
